Type,Function,Digit,Time(ns)
randomdigit,uxs,4,32.173402
randomdigit,uxs,5,32.605095
randomdigit,uxs,6,32.165870
randomdigit,uxs,7,32.539824
randomdigit,uxs,8,32.410220
randomdigit,uxs,9,32.546638
randomdigit,uxs,10,32.468550
randomdigit,uxs,11,32.659926
randomdigit,uxs,12,32.466310
randomdigit,uxs,13,32.706356
randomdigit,uxs,14,32.488351
randomdigit,uxs,15,34.223413
randomdigit,uxs,16,34.981778
randomdigit,uxs,17,37.202813
randomdigit,xjb64,1,10.529215
randomdigit,xjb64,2,10.522760
randomdigit,xjb64,3,10.501467
randomdigit,xjb64,4,10.524664
randomdigit,xjb64,5,10.526112
randomdigit,xjb64,6,10.505311
randomdigit,xjb64,7,10.528408
randomdigit,xjb64,8,10.508123
randomdigit,xjb64,9,10.499955
randomdigit,xjb64,10,10.499543
randomdigit,xjb64,11,10.512920
randomdigit,xjb64,12,10.532662
randomdigit,xjb64,13,10.511443
randomdigit,xjb64,14,10.531298
randomdigit,xjb64,15,10.489440
randomdigit,xjb64,16,10.523380
randomdigit,xjb64,17,10.506449
randomdigit,yy,1,10.361059
randomdigit,yy,2,10.408064
randomdigit,yy,3,10.400886
randomdigit,yy,4,10.361612
randomdigit,yy,5,11.552183
randomdigit,yy,6,11.619673
randomdigit,yy,7,10.991853
randomdigit,yy,8,10.929985
randomdigit,yy,9,12.077185
randomdigit,yy,10,12.513939
randomdigit,yy,11,11.964430
randomdigit,yy,12,11.996143
randomdigit,yy,13,13.097595
randomdigit,yy,14,13.305885
randomdigit,yy,15,12.712590
randomdigit,yy,16,12.623405
randomdigit,yy,17,12.632545
randomdigit,zmij,1,11.015346
randomdigit,zmij,2,11.125534
randomdigit,zmij,3,10.908865
randomdigit,zmij,4,11.015719
randomdigit,zmij,5,11.035004
randomdigit,zmij,6,10.923385
randomdigit,zmij,7,10.983633
randomdigit,zmij,8,11.110413
randomdigit,zmij,9,11.218194
randomdigit,zmij,10,11.024325
randomdigit,zmij,11,11.071349
randomdigit,zmij,12,11.069376
randomdigit,zmij,13,10.983561
randomdigit,zmij,14,11.314047
randomdigit,zmij,15,10.945637
randomdigit,zmij,16,11.193742
randomdigit,zmij,17,11.102190
